Valid from,Valid until,Code,Text
01-01-1600,31-12-9999,0,undisclosed
01-01-1600,31-12-9999,11000,Military / Civil Defense
01-01-1600,31-12-9999,100000,"Leadership at the top level in companies, organizations and the public sector"
01-01-1600,31-12-9999,110000,Legislative work and management in public administration and interest organizations
01-01-1600,31-12-9999,111000,"Legislative work and overall administration of legislation, before 2004 incl. overall public management"
01-01-1600,31-12-9999,112000,General public management
01-01-1600,31-12-9999,114000,Overall management of interest organizations and humanitarian organizations
01-01-1600,31-12-9999,114100,Management of political party organizations
01-01-1600,31-12-9999,114200,Management of economic interest organizations
01-01-1600,31-12-9999,114210,Politically responsible / politically elected leaders in economic interest organizations
01-01-1600,31-12-9999,114220,Employed leaders in economic interest organizations
01-01-1600,31-12-9999,114300,Management work in humanitarian or other interest groups
01-01-1600,31-12-9999,120000,Top management in the company in business with at least 10 employees
01-01-1600,31-12-9999,121000,Management comprising the company as a whole in business with at least 10 employees
01-01-1600,31-12-9999,121010,"Top management level, CEO or equivalent in company with at least 10 employees"
01-01-1600,31-12-9999,121020,Crossing directors in business with at least 10 employees
01-01-1600,31-12-9999,122000,Management of the main activity in business with at least 10 employees
01-01-1600,31-12-9999,122100,"Management of the farm in agriculture, forestry and fishing in business with at least 10 employees"
01-01-1600,31-12-9999,122200,Production management in industrial enterprises in companies with at least 10 employees
01-01-1600,31-12-9999,122210,Top management of manufacturing in industrial enterprises in business with at least 10 employees
01-01-1600,31-12-9999,122220,Leadership of production in industrial companies in other companies with at least 10 employees
01-01-1600,31-12-9999,122300,Management of production in the construction sector in a company with at least 10 employees
01-01-1600,31-12-9999,122400,Management of sales in wholesale and retail business in business with at least 10 employees
01-01-1600,31-12-9999,122500,Management of the main activity in hotel and catering business in business with at least 10 employees
01-01-1600,31-12-9999,122600,Management of the main activity in companies in the field of transport and communication in business with at least 10 employees
01-01-1600,31-12-9999,122700,Management of the main activity of companies in business services in companies with at least 10 employees
01-01-1600,31-12-9999,122800,Management of the main activity of companies in the field of personal services in enterprises with at least 10 employees
01-01-1600,31-12-9999,122900,Management of the main activity of other companies in business with at least 10 employees
01-01-1600,31-12-9999,122910,Management in police and justice in business with at least 10 employees
01-01-1600,31-12-9999,122920,Management in the education sector in business with at least 10 employees
01-01-1600,31-12-9999,122930,Management in the social and health sector in business with at least 10 employees
01-01-1600,31-12-9999,122940,"Management of other public areas, including sports, culture and service activities in business with at least 10 employees"
01-01-1600,31-12-9999,122990,Management of the main activity in addition in business with at least 10 employees
01-01-1600,31-12-9999,123000,Management of specialist areas in business with at least 10 employees
01-01-1600,31-12-9999,123100,Work concerning administration and financing in non-financial companies in companies with at least 10 employees
01-01-1600,31-12-9999,123200,Personnel management in business with at least 10 employees
01-01-1600,31-12-9999,123300,"Sales and marketing management, excl. sales company in business with at least 10 employees"
01-01-1600,31-12-9999,123400,Information and marketing management in business with at least 10 employees
01-01-1600,31-12-9999,123500,Purchasing and supply management in business with at least 10 employees
01-01-1600,31-12-9999,123600,"Computer management, management of computer business is placed in group 131700 in business with at least 10 employees"
01-01-1600,31-12-9999,123700,Research and development management in business with at least 10 employees
01-01-1600,31-12-9999,123900,Management of other special areas in business with at least 10 employees
01-01-1600,31-12-9999,130000,Management of business with fewer than 10 employees
01-01-1600,31-12-9999,131000,Management of business with fewer than 10 employees
01-01-1600,31-12-9999,131100,"Management of farms in agriculture, forestry and fishing in businesses with fewer than 10 employees"
01-01-1600,31-12-9999,131200,Production management in industrial enterprises in companies with fewer than 10 employees
01-01-1600,31-12-9999,131210,Top management of manufacturing in industrial enterprises in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131220,"Management of production in industrial companies, incidentally, in companies with fewer than 10 employees"
01-01-1600,31-12-9999,131300,Management of production in the construction sector in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131400,Management of sales in wholesale and retail business in companies with fewer than 10 employees
01-01-1600,31-12-9999,131500,Leadership of the main activity in hotel and catering activities in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131600,Management of the main activity in companies in the field of transport and communication in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131700,Management of the main activity in companies in business services in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131800,Management of the main activity of companies in the field of personal services in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131900,Management of the main activity of other companies in companies with fewer than 10 employees
01-01-1600,31-12-9999,131910,Management in the police and judiciary in business with fewer than 10 employees
01-01-1600,31-12-9999,131920,Management in the education sector in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131930,Management in the social and health sector in enterprises with fewer than 10 employees
01-01-1600,31-12-9999,131940,"Management of other public areas, including sports, culture and service activities in businesses with fewer than 10 employees"
01-01-1600,31-12-9999,131990,Management of the main activity in addition in business with fewer than 10 employees
01-01-1600,31-12-9999,200000,Work requiring knowledge at the highest level within the field
01-01-1600,31-12-9999,210000,"Work in the non-biological fields of science and computer science, statistics, architecture and technical sciences"
01-01-1600,31-12-9999,211000,"Work in physics, chemistry, astronomy, meteorology, geology and geophysics"
01-01-1600,31-12-9999,211100,Work in physics and astronomy
01-01-1600,31-12-9999,211200,Work in meteorology
01-01-1600,31-12-9999,211300,Work in chemistry
01-01-1600,31-12-9999,211400,Work in geology and geophysics
01-01-1600,31-12-9999,212000,"Work with mathematical and statistical concepts, theories and methods"
01-01-1600,31-12-9999,212100,"Work with mathematical concepts, theories and methods"
01-01-1600,31-12-9999,212200,"Work with statistical concepts, theories and methods"
01-01-1600,31-12-9999,213000,IT work at technical high level
01-01-1600,31-12-9999,213100,Development and overall operation of IT systems
01-01-1600,31-12-9999,213110,"Project management, IT system development (2003 work with computer design and analysis in idea and analysis phase)"
01-01-1600,31-12-9999,213120,"IT system development, including analysis, design and preparation of requirements specifications (2003 work with overall design of computer systems including design of the operating system)"
01-01-1600,31-12-9999,213130,"Overall operation of IT systems, including planning, implementation and maintenance of operating systems"
01-01-1600,31-12-9999,213200,"Technical high-level programming, including overall configuration of database and file structures"
01-01-1600,31-12-9999,213900,"Other IT work at the technical high level, including advice on implementation and maintenance of software and hardware"
01-01-1600,31-12-9999,214000,Architectural and engineering
01-01-1600,31-12-9999,214100,Architectural work and planning of construction work
01-01-1600,31-12-9999,214200,"Engineering related to buildings, infrastructure and facilities"
01-01-1600,31-12-9999,214300,Engineering related to strong current
01-01-1600,31-12-9999,214400,Engineering related to low current
01-01-1600,31-12-9999,214500,Engineering related to non-electric motors and machine plants
01-01-1600,31-12-9999,214600,Engineering related to chemical processes in industrial production
01-01-1600,31-12-9999,214700,Mine Engineering
01-01-1600,31-12-9999,214800,Surveying Work
01-01-1600,31-12-9999,214900,Engineer and architectural work in general
01-01-1600,31-12-9999,220000,"Work in medicine, pharmacy, and the biological fields of natural sciences, as well as midwife work, general nursing, etc."
01-01-1600,31-12-9999,221000,Work in science
01-01-1600,31-12-9999,221100,"Work in the field of food, biology, genetics, zoology, botany and ecology"
01-01-1600,31-12-9999,221110,Work in the field of food
01-01-1600,31-12-9999,221120,"Work in biology, genetics, zoology, botany and ecology"
01-01-1600,31-12-9999,221200,"Work in the fields of anatomy, biochemistry, physiology, pathology and pharmacology"
01-01-1600,31-12-9999,221300,"Work in the field of plant breeding and livestock farming, including agronomic and consultancy work"
01-01-1600,31-12-9999,222000,Work in medicine and pharmacy
01-01-1600,31-12-9999,222100,Medical Work
01-01-1600,31-12-9999,222200,dental Work
01-01-1600,31-12-9999,222300,veterinary Work
01-01-1600,31-12-9999,222400,pharmacist Work
01-01-1600,31-12-9999,222900,Scientific work in medicine and pharmacy by the way
01-01-1600,31-12-9999,223000,"Midwife work, healthcare and overall nursing work"
01-01-1600,31-12-9999,223010,midwife Work
01-01-1600,31-12-9999,223020,Sundhedsplejerske Work
01-01-1600,31-12-9999,223030,General Nursing and Homework Care
01-01-1600,31-12-9999,230000,"Teaching in primary and lower secondary schools, vocational schools, colleges and colleges, research organization and control of teaching"
01-01-1600,31-12-9999,231000,"Teaching at universities etc., including teaching with research duties"
01-01-1600,31-12-9999,232000,Teaching in colleges and vocational schools
01-01-1600,31-12-9999,232010,Teaching in colleges
01-01-1600,31-12-9999,232020,Teaching in vocational schools
01-01-1600,31-12-9999,233000,"Teaching at primary school level, excl. preschool"
01-01-1600,31-12-9999,233100,"Teaching at primary school level, excl. preschool"
01-01-1600,31-12-9999,233110,"Teaching in primary schools, excl. preschool"
01-01-1600,31-12-9999,233120,Teaching in junior schools
01-01-1600,31-12-9999,233130,"Teaching at after-, household and hand-work schools"
01-01-1600,31-12-9999,234000,Teaching of disabled people
01-01-1600,31-12-9999,235000,Work on teaching as a whole
01-01-1600,31-12-9999,235100,"Research, development and advice regarding teaching methods"
01-01-1600,31-12-9999,235200,Control and organization of teaching
01-01-1600,31-12-9999,235900,Other teaching work
01-01-1600,31-12-9999,235910,"Teaching at high-, day-high and production schools"
01-01-1600,31-12-9999,235920,Teaching in general adult education
01-01-1600,31-12-9999,235930,Teaching immigrants
01-01-1600,31-12-9999,235940,Teaching at vocational education
01-01-1600,31-12-9999,235950,Teaching at evening schools
01-01-1600,31-12-9999,235960,Course activities by the way
01-01-1600,31-12-9999,235990,Other work concerning education
01-01-1600,31-12-9999,240000,Work in the social sciences and humanities
01-01-1600,31-12-9999,241000,Work with corporate organization and economy
01-01-1600,31-12-9999,241100,Work in the field of auditing and accounting at the overall level
01-01-1600,31-12-9999,241200,"Personnel work at a professional level, including employees in consultancy agencies"
01-01-1600,31-12-9999,241900,"Special features of business, interest organizations and public companies"
01-01-1600,31-12-9999,241910,"Special features of business organization, finance, sales, etc."
01-01-1600,31-12-9999,241920,"Special functions in interest organizations regarding organization, economy etc."
01-01-1600,31-12-9999,241930,"Special functions in public companies relating to organization, finance, management, etc."
01-01-1600,31-12-9999,242000,Legal work
01-01-1600,31-12-9999,242100,lawyer Work
01-01-1600,31-12-9999,242110,lawyer Work
01-01-1600,31-12-9999,242120,Attorney Work
01-01-1600,31-12-9999,242200,Judge Work
01-01-1600,31-12-9999,242900,Legal work by the way
01-01-1600,31-12-9999,243000,Cultural dissemination and information work
01-01-1600,31-12-9999,243100,Museum and archive work
01-01-1600,31-12-9999,243200,Library activities
01-01-1600,31-12-9999,244000,Work in economics and social sciences
01-01-1600,31-12-9999,244100,Work in Economics
01-01-1600,31-12-9999,244200,Work in sociology and anthropology
01-01-1600,31-12-9999,244300,Work in philosophy and history
01-01-1600,31-12-9999,244400,Work in language science
01-01-1600,31-12-9999,244410,Research in linguistics
01-01-1600,31-12-9999,244420,translation Work
01-01-1600,31-12-9999,244430,interpreting
01-01-1600,31-12-9999,244490,"Other work concerning language, language technology and communication"
01-01-1600,31-12-9999,244500,Work in Psychology
01-01-1600,31-12-9999,244600,"Social counseling that requires further training, eg completed year course or equivalent experience"
01-01-1600,31-12-9999,245000,Journalist and writer work as well as artistic work
01-01-1600,31-12-9999,245100,Journalism and writer work
01-01-1600,31-12-9999,245110,Journalistic work
01-01-1600,31-12-9999,245120,Editorial work
01-01-1600,31-12-9999,245130,Advertising Text Work
01-01-1600,31-12-9999,245140,Press and communication work
01-01-1600,31-12-9999,245150,Webmaster work (content)
01-01-1600,31-12-9999,245190,Other writings
01-01-1600,31-12-9999,245200,Illustration and design work
01-01-1600,31-12-9999,245211,Illustrative graphical work concerning news coverage
01-01-1600,31-12-9999,245212,Illustrative graphical work concerning marketing
01-01-1600,31-12-9999,245219,Illustrations graphical work by the way
01-01-1600,31-12-9999,245230,Artistic design work on products
01-01-1600,31-12-9999,245240,Conservation Work
01-01-1600,31-12-9999,245290,Other artistic work in the field of visual arts and design
01-01-1600,31-12-9999,245300,Artistic work relating to music and song
01-01-1600,31-12-9999,245310,Artistic work as performing musician and singer
01-01-1600,31-12-9999,245320,Artistic work as an instructor in song and music
01-01-1600,31-12-9999,245400,Artistic work as a dancer and choreographer
01-01-1600,31-12-9999,245500,Film and acting
01-01-1600,31-12-9999,246000,"Work in religion, including priests, etc."
01-01-1600,31-12-9999,247000,Work with the administration of legislation in the public sector
01-01-1600,31-12-9999,300000,Work that requires medium level knowledge
01-01-1600,31-12-9999,310000,Technical work in non-biological subjects
01-01-1600,31-12-9999,311000,"Engineering work in physics and chemistry, mechanics etc."
01-01-1600,31-12-9999,311100,"Engineering work in physics, chemistry, geology, etc."
01-01-1600,31-12-9999,311110,Laboratory Work
01-01-1600,31-12-9999,311120,Assistant work in laboratories
01-01-1600,31-12-9999,311130,Laboratory Work
01-01-1600,31-12-9999,311140,"Technological work in geology, meteorology and astronomy"
01-01-1600,31-12-9999,311200,Technical work regarding construction work
01-01-1600,31-12-9999,311300,Technical work regarding electrical installations and equipment
01-01-1600,31-12-9999,311400,"Technical work regarding electronic systems and equipment, incl. telecommunications and data communications"
01-01-1600,31-12-9999,311500,"Technical work regarding machinery and pipelines, not on ships"
01-01-1600,31-12-9999,311600,Technical work regarding chemical processes
01-01-1600,31-12-9999,311700,Technical work regarding industrial extraction plant
01-01-1600,31-12-9999,311800,Technical design and drawing work
01-01-1600,31-12-9999,311900,Technical work in other areas
01-01-1600,31-12-9999,311910,"Technical work regarding operation, planning and quality control"
01-01-1600,31-12-9999,311920,Technical work regarding production
01-01-1600,31-12-9999,311930,Graphic and DTP work
01-01-1600,31-12-9999,311990,Technique work by the way
01-01-1600,31-12-9999,312000,IT technical work
01-01-1600,31-12-9999,312100,Programming and IT operations
01-01-1600,31-12-9999,312110,"Programming, customization of applications, design of templates"
01-01-1600,31-12-9999,312120,"IT Operational Planning and Administration, including user rights management"
01-01-1600,31-12-9999,312130,Hotline / IT technician work internally in the company
01-01-1600,31-12-9999,312200,"IT operator work, including console and machine operator work"
01-01-1600,31-12-9999,312300,Work with industrial robot programs
01-01-1600,31-12-9999,313000,"Work with sound, lights and images as well as the operation of hospital equipment"
01-01-1600,31-12-9999,313100,Recording sound and images
01-01-1600,31-12-9999,313110,"Photographer work, news agency, press photographer"
01-01-1600,31-12-9999,313120,Phototechnical work
01-01-1600,31-12-9999,313130,"Film and video recording, news release"
01-01-1600,31-12-9999,313140,"Film and video recording, excl. news coverage"
01-01-1600,31-12-9999,313150,"Sound recording and sound technology, news dissemination"
01-01-1600,31-12-9999,313160,"Audio recording and audio technology, excl. news coverage"
01-01-1600,31-12-9999,313170,"Editing audio and video, news release"
01-01-1600,31-12-9999,313180,"Audio and Image Editing, Excl. news coverage"
01-01-1600,31-12-9999,313190,"Other work with sound, light and pictures at cinema and theater"
01-01-1600,31-12-9999,313200,Operation of machines for radio and television broadcasts as well as telegraphy
01-01-1600,31-12-9999,313300,Operation of hospital equipment
01-01-1600,31-12-9999,313900,"Work sound, lights and pictures by the way"
01-01-1600,31-12-9999,314000,Work in shipping and aviation
01-01-1600,31-12-9999,314100,Technical work on board ships
01-01-1600,31-12-9999,314200,master Work
01-01-1600,31-12-9999,314300,Flypilotarbejde
01-01-1600,31-12-9999,314400,Planning and settlement of air traffic
01-01-1600,31-12-9999,314410,Air Traffic Work
01-01-1600,31-12-9999,314420,Planning and settlement of air traffic in general
01-01-1600,31-12-9999,314500,Flymaskinistarbejde
01-01-1600,31-12-9999,315000,Security and quality control
01-01-1600,31-12-9999,315100,Work with building and fire safety
01-01-1600,31-12-9999,315200,Technical control work
01-01-1600,31-12-9999,315210,Control work relating to environment
01-01-1600,31-12-9999,315220,Control work relating to security
01-01-1600,31-12-9999,315230,Control work relating to quality
01-01-1600,31-12-9999,320000,Technical work and other work in biological subjects
01-01-1600,31-12-9999,321000,"Engineering work in biology, biochemistry, pharmacology, zoology, botany, agriculture and forestry"
01-01-1600,31-12-9999,321100,"Engineering work in biology, biochemistry, pharmacology and zoology"
01-01-1600,31-12-9999,321111,"Laboratory work, pharmaceutical industry"
01-01-1600,31-12-9999,321112,"Assistant work in laboratories, pharmaceutical industry"
01-01-1600,31-12-9999,321113,"Laboratory technician, pharmaceutical industry"
01-01-1600,31-12-9999,321114,"Other engineering work, pharmaceutical industry"
01-01-1600,31-12-9999,321121,"Laboratory work, food industry"
01-01-1600,31-12-9999,321122,"Assistant work in laboratories, food industry"
01-01-1600,31-12-9999,321123,"Laboratory technician work, food industry"
01-01-1600,31-12-9999,321124,"Other engineering work, food industry"
01-01-1600,31-12-9999,321131,"Bioanalyst and laboratory staff, hospitals"
01-01-1600,31-12-9999,321132,"Assistant work in laboratories, hospitals"
01-01-1600,31-12-9999,321133,"Laboratory technician work, hospitals"
01-01-1600,31-12-9999,321134,"Other engineering work, hospitals"
01-01-1600,31-12-9999,321141,Laboratory work concerning research
01-01-1600,31-12-9999,321142,Laboratory technician work research
01-01-1600,31-12-9999,321190,"Techniques in biology, biochemistry, pharmacology and zoology in general"
01-01-1600,31-12-9999,321200,Technical work in agriculture and forestry science
01-01-1600,31-12-9999,321300,Advisory work in agriculture and forestry
01-01-1600,31-12-9999,322000,"Assistant work in the healthcare sector, excl. nursing work"
01-01-1600,31-12-9999,322100,"Assistant work and advice regarding health, birth, diet and disease treatment"
01-01-1600,31-12-9999,322200,"Assistant work and advice regarding hygiene, and environmental engineering work"
01-01-1600,31-12-9999,322300,"Work with diet and the diet's composition and preparation, for example economical work"
01-01-1600,31-12-9999,322400,Optometrist Work
01-01-1600,31-12-9999,322500,Work with dental care
01-01-1600,31-12-9999,322510,Dental assistant Work
01-01-1600,31-12-9999,322520,Dental hygienist Work
01-01-1600,31-12-9999,322600,"Physiotherapy, chiropractic and other therapist work"
01-01-1600,31-12-9999,322610,physiotherapist Work
01-01-1600,31-12-9999,322620,Fodterapeut Work
01-01-1600,31-12-9999,322630,chiropractor Working
01-01-1600,31-12-9999,322640,Occupational Therapist Work
01-01-1600,31-12-9999,322700,Assistant work at veterinarian
01-01-1600,31-12-9999,322800,Pharmaceutical Assistant Work
01-01-1600,31-12-9999,322810,pharmacy Assistant
01-01-1600,31-12-9999,322820,pharmacy Technician
01-01-1600,31-12-9999,322900,"Assistant work in the health sector, including field therapist work"
01-01-1600,31-12-9999,323000,nursing Work
01-01-1600,31-12-9999,323100,nursing Work
01-01-1600,31-12-9999,330000,Care and educational work
01-01-1600,31-12-9999,331000,School education of children under the age of instruction
01-01-1600,31-12-9999,332000,Educational work with children under the age of instruction
01-01-1600,31-12-9999,333000,Care and educational work for children and adults in specialized institutions
01-01-1600,31-12-9999,334000,Educational and educational work by the way
01-01-1600,31-12-9999,334010,Teaching and educational work in institutions by the way
01-01-1600,31-12-9999,334020,"Driving technical education, etc."
01-01-1600,31-12-9999,340000,"Work with sales, finance, business services, administration, etc."
01-01-1600,31-12-9999,341000,Sales and financing
01-01-1600,31-12-9999,341100,Credit work and trading of securities
01-01-1600,31-12-9999,341110,Credit work related to credit analysis
01-01-1600,31-12-9999,341120,Credit work related to treatment / grant
01-01-1600,31-12-9999,341130,Credit work related to monitoring / reporting
01-01-1600,31-12-9999,341140,Credit work related to distressed exposures
01-01-1600,31-12-9999,341150,"Trading in securities, currency and other financial instruments"
01-01-1600,31-12-9999,341160,"Advisory work on sales of securities, currency and other financial instruments"
01-01-1600,31-12-9999,341170,"Analysis work related to sales of securities, currency and other financial instruments"
01-01-1600,31-12-9999,341200,Insurance Sales Work
01-01-1600,31-12-9999,341300,Purchase and sale of property
01-01-1600,31-12-9999,341310,Real estate
01-01-1600,31-12-9999,341320,Real estate transactions
01-01-1600,31-12-9999,341400,Work on organizing travel
01-01-1600,31-12-9999,341500,Sales Work
01-01-1600,31-12-9999,341510,Searching sales work excl. retail
01-01-1600,31-12-9999,341520,Product Support sale
01-01-1600,31-12-9999,341530,Sale of passenger and vans including motorcycles
01-01-1600,31-12-9999,341540,Sale of lorries and other commercial vehicles
01-01-1600,31-12-9999,341590,Other sales work excl. retail
01-01-1600,31-12-9999,341600,shopping Work
01-01-1600,31-12-9999,341700,"Assessment, assessment and handling of insurance claims"
01-01-1600,31-12-9999,341710,Assessment and assessment work
01-01-1600,31-12-9999,341720,Insurance technical work relating to handling of insurance claims
01-01-1600,31-12-9999,341900,Other sales and financing work
01-01-1600,31-12-9999,341910,marketing Work
01-01-1600,31-12-9999,341920,Financial work relating to housing advice
01-01-1600,31-12-9999,341930,Work concerning pension and investment advice
01-01-1600,31-12-9999,341940,General financial and insurance advice
01-01-1600,31-12-9999,341950,Insurance technical work relating to creation and maintenance of insurance policies
01-01-1600,31-12-9999,341990,Other sales and financing work in general
01-01-1600,31-12-9999,342000,"Agents work in business and brokerage work, including internal consultants"
01-01-1600,31-12-9999,342100,Brokerage Work
01-01-1600,31-12-9999,342200,Spedition
01-01-1600,31-12-9999,342210,Freight forwarding land and air transport
01-01-1600,31-12-9999,342220,Freight forwarding maritime transport
01-01-1600,31-12-9999,342290,Forwarding by the way
01-01-1600,31-12-9999,342300,Job Agency Work
01-01-1600,31-12-9999,342900,Other business services
01-01-1600,31-12-9999,342910,Sales and consultancy work advertisements
01-01-1600,31-12-9999,342920,Agents work for sports athletes and artists
01-01-1600,31-12-9999,342990,Other agency work in business services
01-01-1600,31-12-9999,343000,administration Work
01-01-1600,31-12-9999,343100,Administrative secretarial work etc.
01-01-1600,31-12-9999,343110,"Translation of correspondence, etc."
01-01-1600,31-12-9999,343120,"Administrative work, internal case management and executive secretarial work"
01-01-1600,31-12-9999,343200,paralegal Work
01-01-1600,31-12-9999,343300,"Accounting, auditing and accounting"
01-01-1600,31-12-9999,343310,bookkeeping Work
01-01-1600,31-12-9999,343320,Auditing and accounting work
01-01-1600,31-12-9999,343400,Assistant work in mathematical calculations and statistical preparation
01-01-1600,31-12-9999,343900,Other administrative work
01-01-1600,31-12-9999,343910,Inspectorate and Inspectorate
01-01-1600,31-12-9999,343920,Administrative work organization and staff management
01-01-1600,31-12-9999,343990,Administrative management and case management
01-01-1600,31-12-9999,344000,Work concerning public services and taxes
01-01-1600,31-12-9999,344100,Customs work (public service)
01-01-1600,31-12-9999,344200,Customs duties (administrative functions)
01-01-1600,31-12-9999,344300,"Work concerning award of public services, including social services in the state and municipality"
01-01-1600,31-12-9999,344400,"Work concerning issuance of passports, license etc."
01-01-1600,31-12-9999,344900,Administrative functions in public sector by the way
01-01-1600,31-12-9999,345000,Political work and detective work
01-01-1600,31-12-9999,346000,Social counseling and corresponding care work
01-01-1600,31-12-9999,347000,"Work in design, art, entertainment and sports"
01-01-1600,31-12-9999,347100,"Decoration, design and illustration"
01-01-1600,31-12-9999,347111,Flower decoration
01-01-1600,31-12-9999,347112,Shop Decoration
01-01-1600,31-12-9999,347119,Decoration work by the way
01-01-1600,31-12-9999,347120,Design and design work
01-01-1600,31-12-9999,347130,Interior Work
01-01-1600,31-12-9999,347140,Graphic design work
01-01-1600,31-12-9999,347150,Illustrations and drawing work
01-01-1600,31-12-9999,347190,"Other decoration, design and illustration work"
01-01-1600,31-12-9999,347200,Speaker Work
01-01-1600,31-12-9999,347300,Singers and dancers not placed in main group 2
01-01-1600,31-12-9999,347400,"Circus artist work, etc."
01-01-1600,31-12-9999,347500,Training and sports activities
01-01-1600,31-12-9999,347510,"Training, sports"
01-01-1600,31-12-9999,347520,Sporting activities
01-01-1600,31-12-9999,348000,Work related to religion
